,Value
22305,25.0
51241,28.0
11392,14.5
27806,37.9
62115,51.0
49222,18.1
114978,39.5
65621,16.8
1113,12.0
120008,43.0
39867,35.0
83218,24.0
88292,38.8
18228,21.1
56752,29.9
127550,48.2
93714,24.0
101787,57.2
66490,62.0
1506,12.0
52605,28.8
85355,39.6
79159,42.0
32052,6.5
113941,72.0
31171,24.1
33790,25.0
18363,37.0
12204,14.0
65165,34.2
2386,22.0
127192,44.0
7952,9.4
56515,14.8
30532,21.4
33055,27.8
128381,41.7
64104,35.9
120176,32.3
118373,30.0
111983,53.0
93780,16.2
129957,35.0
65369,58.8
114999,50.0
121244,50.4
25472,17.7
123567,32.9
34706,25.0
308,17.0
138274,39.0
67933,44.0
102166,43.6
99721,30.0
120205,51.0
33080,31.8
123034,25.1
5852,11.5
138317,28.8
83589,47.3
3548,29.1
120312,35.0
53091,20.8
98093,40.4
29540,32.0
82067,30.7
82351,52.5
124642,53.6
76903,36.9
122429,45.4
131661,44.0
23530,24.0
132699,20.0
41617,30.0
93700,44.2
19072,26.0
2820,18.3
9711,13.1
68752,44.0
90587,30.4
10217,12.0
68890,39.3
72270,22.9
36100,24.0
82663,32.0
125241,32.9
17180,43.5
125181,62.0
1158,14.0
91449,23.9
83892,11.1
11545,11.8
123917,24.5
22283,15.5
72780,38.0
125507,20.3
42472,10.5
119163,54.0
87548,37.7
17081,36.0
64954,42.6
4595,9.9
128207,57.8
14570,24.1
35365,17.4
72134,43.6
73419,50.0
27733,40.0
5839,14.7
35143,31.0
81386,48.0
121130,45.1
49199,23.5
95338,36.7
105254,18.6
126936,38.5
132453,18.7
67692,32.4
7389,11.0
54171,20.5
98064,11.0
66722,34.9
23058,30.1
21694,32.0
38175,17.0
66269,37.0
98052,20.2
51565,26.7
70718,35.0
8415,19.0
14432,6.3
53981,21.0
135518,23.8
120903,55.6
98656,37.0
119546,7.4
5601,12.4
3112,20.0
53040,15.3
100992,27.9
131943,26.1
109752,50.4
71334,40.2
83982,38.9
126990,30.0
19484,41.2
101269,36.0
92080,38.0
37008,23.1
97229,26.9
83080,28.8
74629,44.3
132008,45.0
62153,59.6
7294,8.1
3508,9.6
124126,63.0
99132,16.7
22513,29.0
115955,28.0
118760,47.3
969,13.4
17142,34.0
11702,16.0
12864,13.0
135555,76.0
58127,10.8
12092,7.7
672,7.4
52638,29.9
48783,28.3
108075,34.7
46917,22.0
29685,30.2
15447,7.7
103398,26.0
17445,33.0
78507,38.0
72444,34.7
113040,21.0
72011,57.4
90873,45.4
100435,26.0
110407,63.9
83215,23.0
112720,50.0
10510,12.4
35603,22.9
138084,49.4
31743,24.2
132440,40.6
125365,30.5
14960,16.6
128549,14.7
95248,29.1
104885,43.0
61068,21.0
37522,24.3
44607,25.6
110729,82.2
45151,30.0
1202,17.4
8741,4.1
66762,45.3
76562,38.0
73790,50.7
110372,78.0
55383,13.3
8779,27.2
112481,38.0
100962,27.4
113319,69.2
83911,10.2
61967,33.0
38885,30.9
95443,28.8
8334,25.0
80450,54.0
12357,11.2
11782,9.0
79474,32.3
95510,39.0
63620,26.0
48363,37.0
64054,19.5
110254,27.0
43986,14.4
93748,22.0
24412,30.2
106500,29.0
36424,38.0
82173,32.4
9149,12.0
3772,13.7
91155,39.1
113532,20.3
96686,30.0
91882,15.0
67858,33.3
108495,17.5
1623,13.2
75725,39.0
128520,24.0
69043,29.0
69920,26.7
79987,46.1
43760,26.5
121336,45.0
1123,15.0
134011,35.2
128527,49.3
16932,34.0
134429,34.0
116076,41.3
123569,27.9
67864,20.2
33177,37.0
31403,27.0
51681,13.9
104250,40.0
120179,21.7
726,19.6
126202,34.0
14096,22.6
95855,32.0
109111,56.8
10036,12.0
78860,28.1
32931,23.0
135223,30.0
62532,68.9
28146,28.1
32210,21.5
114207,53.0
124792,35.8
78294,29.0
87214,18.0
97549,32.6
31648,20.0
55360,16.0
51127,21.0
39265,21.4
17832,30.8
20470,25.0
27152,20.9
132815,52.0
52574,16.0
46179,26.1
124208,56.0
47911,11.9
93864,46.2
45127,26.4
6553,14.5
12350,11.1
66540,53.0
98089,38.9
48721,16.0
23238,37.6
11077,20.0
33971,26.8
59044,14.5
102933,29.6
29606,35.0
27931,28.0
33090,30.4
14824,18.0
67167,32.0
102156,38.0
90849,21.8
118450,33.4
12403,17.5
112272,67.0
98430,25.8
11740,21.0
92173,38.4
76128,28.1
5074,4.5
34128,22.0
63428,23.0
126496,35.3
7720,10.0
12888,14.6
67860,29.8
35782,8.6
6319,13.5
25012,22.2
104735,44.3
123279,35.0
103154,37.7
99341,43.0
36956,25.1
43105,25.0
65661,16.2
12980,6.6
60045,10.9
36675,28.0
34703,21.0
24869,24.2
30948,20.0
99375,24.0
56862,14.5
125908,78.3
107334,27.5
137275,24.1
45363,10.8
109323,41.0
19612,36.0
102396,44.0
101371,25.0
18992,38.0
119954,46.6
528,16.7
139516,21.0
117985,29.1
137509,36.0
137649,35.3
139044,25.0
138923,25.7
130119,58.0
15475,11.1
61209,15.8
135949,28.1
20473,22.0
38582,17.0
35097,27.0
123607,32.8
66101,33.5
62324,16.5
11601,6.8
55086,15.0
62877,40.6
39590,22.0
71765,48.3
62240,56.7
101843,29.6
113065,48.6
128937,35.4
131203,53.0
49447,12.0
39101,6.8
68921,25.0
95330,25.8
128236,52.0
83586,40.2
46402,18.3
105308,14.0
26264,20.0
121329,50.0
113482,22.7
49031,12.5
83593,42.6
9656,8.5
41657,26.6
112912,26.1
81344,37.6
138757,32.8
75452,34.5
115614,43.8
130458,77.5
130725,38.4
71293,37.3
16679,18.5
39054,23.0
58460,20.0
25279,26.1
6593,12.3
40617,18.5
19016,13.0
119315,52.9
35372,19.0
26261,29.0
51854,18.3
1046,21.0
122980,42.0
84840,28.0
125888,81.1
33706,30.7
46503,6.0
20919,44.3
113064,46.8
125751,38.5
31445,22.0
118051,72.6
47144,19.0
118003,47.2
65666,15.0
121518,26.5
119459,21.3
12956,18.2
67409,47.8
13905,9.0
36868,15.0
60981,21.0
131460,36.5
26069,37.0
40452,24.6
58387,22.0
117497,48.8
60395,11.0
23511,23.4
24968,14.4
77688,41.0
111171,46.7
50498,14.2
8250,30.0
9798,14.9
123226,45.4
129530,48.5
6555,14.5
32399,24.0
3118,23.0
94733,30.4
136487,30.9
128824,15.0
88647,27.9
8124,12.0
132627,66.3
34315,20.0
138480,36.0
102817,28.0
67248,49.5
128128,52.0
109026,20.5
131653,50.0
54212,13.1
9278,14.0
63220,33.3
42601,13.1
15834,7.8
79485,26.0
129096,20.0
15310,8.4
95264,29.7
112371,60.8
99003,24.0
59758,14.0
87397,54.8
108791,32.0
36651,31.0
71106,62.5
46809,20.0
17584,42.6
108864,66.0
107610,66.5
134107,45.5
128970,37.7
100970,35.1
42518,16.5
68067,23.5
31366,33.9
127291,38.3
46476,13.7
114751,74.9
91403,30.6
78307,35.8
62413,52.0
65161,34.2
112375,59.1
3827,9.5
15985,15.7
109615,55.1
109162,73.0
99352,41.0
83064,34.4
84723,30.0
76039,36.0
118887,55.0
95401,27.6
71858,8.2
132638,43.9
88612,23.1
17312,31.3
53440,13.5
78116,47.5
128022,17.0
16890,46.0
131057,20.9
135993,25.0
63971,49.0
110525,36.0
74458,36.4
124488,56.3
126315,44.8
111564,30.0
32873,24.7
15435,8.2
127215,43.0
40408,26.6
135592,35.0
3726,16.6
29275,56.0
119416,29.6
130003,60.0
100336,38.0
31390,23.0
71944,30.4
96936,34.0
3955,16.0
115234,45.0
93227,24.3
107387,34.0
1054,15.0
77988,46.0
112799,49.2
78256,28.3
33782,35.0
11057,16.0
35113,11.0
65266,56.0
81329,37.4
78284,39.1
76511,24.4
5226,21.8
112703,55.1
111312,43.1
114107,67.0
55683,11.5
2585,12.5
13582,8.0
34102,22.0
14172,8.5
11683,12.0
119021,43.0
121697,46.0
50075,12.0
11020,14.0
73050,33.0
78228,33.5
63417,30.0
60253,9.1
55342,13.3
83528,49.6
14186,12.5
122801,43.4
129871,50.0
79441,22.3
37601,24.0
66768,41.9
15935,15.7
62803,43.7
66679,36.3
32899,59.9
107274,27.2
10475,13.8
32493,27.0
54230,19.9
8631,19.0
76397,34.1
117657,53.0
40681,26.0
26372,24.0
25808,10.5
116733,20.0
16609,26.0
86742,35.0
21960,28.0
3423,8.3
61336,24.7
74314,39.9
54846,24.0
14523,19.9
131859,23.6
13688,10.2
51091,17.0
132601,29.6
18506,16.0
51679,23.4
113413,25.2
99762,34.0
38948,20.5
132457,42.7
37190,28.8
121585,58.0
2173,15.0
2716,23.2
42066,32.4
116187,40.0
73371,48.0
9698,18.4
104058,56.0
20597,21.2
113191,90.5
35206,19.0
9757,16.6
108887,58.7
93218,30.9
86382,38.7
101857,42.9
36136,29.1
127401,66.0
72015,21.3
39288,12.0
11834,22.0
135231,24.0
130942,51.0
117768,46.2
139081,33.7
2556,15.8
115659,51.2
5359,9.0
132671,35.6
42349,20.0
39026,20.0
69498,34.4
67585,24.7
84465,22.9
99108,34.3
132632,55.4
31613,20.1
86185,37.0
51327,22.8
43683,6.5
84504,15.7
61559,3.3
55420,13.0
116191,38.1
118485,38.5
54887,23.0
22362,32.0
73672,35.0
122366,51.0
128375,38.3
41566,46.0
28245,26.7
112247,53.0
102853,36.0
24527,21.0
111239,29.1
121512,38.5
111828,23.3
131858,24.0
56868,13.8
54681,18.9
89100,12.7
70404,15.5
85430,37.7
124281,35.7
68885,49.1
89961,33.3
17088,25.0
3743,16.7
46609,14.0
41812,20.0
41532,27.3
50481,8.8
37114,38.8
66191,49.0
112050,51.0
78819,32.9
128774,18.5
13499,10.7
118000,58.4
123496,44.0
40929,11.4
71159,51.5
42106,24.1
93598,32.0
9315,16.0
74793,39.8
85712,36.3
139533,15.4
86071,14.6
93725,17.0
80404,52.0
109609,66.2
32802,22.5
58873,12.6
57276,16.0
39928,33.0
123830,41.5
78473,37.0
115965,39.0
33696,20.0
66397,29.0
127978,45.0
12575,25.0
58415,21.0
48679,19.0
52557,18.0
2151,20.0
98198,21.8
65146,38.8
64222,30.0
72268,23.9
66437,44.6
29309,27.0
78196,39.6
48514,17.0
112245,80.0
5913,2.0
121675,36.5
12042,9.5
127788,49.0
6841,18.1
113115,67.6
79259,33.6
86192,23.5
43350,34.2
57964,9.7
124991,23.7
28486,29.1
70216,33.0
44590,22.9
88551,34.1
136532,24.4
54428,25.9
60300,7.4
7812,24.6
117778,41.4
97245,30.5
15346,11.2
42028,19.3
84610,34.0
56095,16.0
114087,52.0
40018,26.9
73295,50.0
31260,33.0
131442,80.8
1273,14.3
135365,52.4
94229,25.0
138006,57.8
23,17.0
62539,51.9
131157,43.0
127579,34.0
22229,26.0
8543,17.7
112418,39.0
79217,37.7
25170,18.6
121197,42.0
121170,28.6
25177,22.3
133103,30.0
126893,38.9
131392,45.1
65366,53.5
51265,23.0
136401,37.3
61080,17.0
98239,25.0
6980,9.1
8845,15.7
65492,35.6
97550,33.0
25755,22.0
41770,35.0
75229,41.5
14288,11.0
112909,39.2
62401,35.0
126262,39.0
114786,39.0
50349,23.1
125289,34.0
4888,12.0
15339,10.9
27032,13.3
79202,45.6
6201,21.0
32360,22.0
10073,14.0
120188,30.4
49298,10.5
12364,8.5
34668,22.0
108866,61.0
120050,47.3
58676,22.0
137272,20.6
79985,49.1
101085,45.0
35486,12.3
19065,20.0
105727,32.0
82866,50.3
100126,28.1
135585,34.5
113044,31.1
53157,14.5
95984,19.8
68476,70.0
80823,56.0
130576,28.5
109208,69.0
53325,9.9
130944,47.0
85715,32.3
130695,31.7
132395,22.1
87969,24.3
124639,48.6
6153,16.0
38536,18.2
102142,34.0
127231,24.8
106658,35.0
139490,20.0
37349,28.5
72202,65.3
54902,14.0
45871,18.0
121266,20.0
111494,49.8
94287,25.5
10207,12.0
135737,34.4
80347,25.0
57985,12.2
8737,8.9
130485,70.0
110650,73.0
73184,27.0
73313,30.0
73755,39.0
8408,19.0
11278,4.8
127853,44.0
79185,40.7
14906,16.0
6250,18.0
132449,20.9
61238,5.8
9724,9.6
131435,74.1
22929,21.9
91475,10.3
48508,24.0
120572,54.0
94667,37.7
48560,16.7
30715,24.0
116094,20.9
35212,28.8
97803,46.2
74102,36.0
116799,8.6
9561,11.6
6171,8.0
95630,20.8
32218,28.5
7552,7.0
102534,34.4
62949,23.0
82169,40.7
124409,41.0
121846,33.6
67383,38.0
3127,23.0
56034,22.0
59844,24.4
12921,9.9
27764,33.0
3461,14.9
79239,27.8
111077,60.0
125951,48.0
73439,43.3
21370,30.8
48107,15.5
34601,21.5
5188,16.0
83032,35.3
130740,36.7
24320,39.0
63742,50.0
50650,13.6
87676,30.6
102468,40.0
18923,32.9
29316,25.0
55450,8.8
85753,35.0
73829,50.5
11031,18.0
19768,24.6
111530,36.5
97849,30.7
72950,24.3
55370,19.2
113585,61.0
37865,18.0
138778,40.1
4450,12.4
63145,42.7
137922,62.0
46682,29.0
3319,7.0
133884,42.0
122558,52.0
108517,25.0
134939,29.2
128425,35.7
13486,14.7
37568,21.5
35192,22.7
64996,47.8
68795,30.0
117038,54.0
42295,31.5
4708,28.7
17557,36.6
52514,29.0
128139,43.0
33860,30.6
102949,22.5
109236,65.0
109870,78.0
136089,30.7
74541,45.0
46513,9.5
55399,12.5
23349,22.2
65691,53.0
59660,24.2
107102,37.0
31246,23.0
96277,18.3
35682,27.7
19990,22.0
39189,24.1
116068,38.2
34744,23.4
118993,69.4
91316,25.7
106384,25.0
88409,34.0
78026,43.0
80082,36.0
26074,43.0
79182,39.4
43960,25.2
42544,17.6
132271,24.6
24547,21.0
95240,33.1
19099,31.6
78455,33.2
120757,52.0
71780,48.0
126456,44.4
21556,37.8
71009,60.0
73833,58.4
72228,66.4
95125,23.6
47880,22.2
68962,34.5
108066,44.1
100300,35.0
127463,37.8
28642,28.0
115376,68.0
132629,44.4
15516,12.1
82101,31.0
32881,18.8
75425,43.0
12157,17.3
82135,19.1
24309,33.0
82020,23.1
34887,25.0
36451,30.0
52567,16.0
44320,27.0
109452,58.0
124686,36.8
114963,54.0
52761,21.0
110694,59.0
101852,35.7
19738,31.1
11820,13.0
3193,16.4
117312,67.0
108951,69.0
47103,23.7
88017,24.2
89582,27.7
127865,47.0
78184,39.5
97430,45.0
5514,10.4
123187,66.1
130414,25.0
119769,35.5
7933,13.7
14433,14.9
119777,35.0
57384,19.9
43036,31.0
68048,20.2
18462,56.0
19483,37.1
89854,61.7
59433,13.5
22790,12.0
46663,14.0
2648,6.6
40165,18.0
8530,14.2
102937,32.3
122659,43.3
53906,17.2
61189,20.7
126679,34.0
32949,34.0
102598,34.0
120052,40.2
71068,39.0
9495,17.2
55529,11.6
101732,41.0
15885,14.2
29840,34.9
120881,43.0
36181,23.5
57695,9.6
33331,29.2
57085,16.9
13849,9.1
131615,61.9
130573,31.5
41882,37.1
112321,59.0
85107,51.0
122517,55.0
58836,18.7
136887,25.9
3055,16.0
82736,45.9
138546,26.0
133653,74.5
117641,48.0
113607,32.2
71047,35.0
103956,39.0
35416,27.1
89960,31.6
93321,30.0
137259,24.7
84388,32.0
32227,32.6
22121,25.0
93825,19.2
98977,28.0
2706,3.9
47660,17.6
114077,51.0
132678,44.9
133168,48.0
57450,20.0
58899,16.7
108977,82.0
91432,19.1
64650,58.0
123209,64.6
93351,24.1
39283,15.0
11664,12.0
68908,36.8
32083,29.0
49902,20.0
78936,37.9
7212,14.0
35433,24.4
10268,13.0
130696,30.7
51656,21.5
95306,30.7
13505,13.6
7444,13.0
68721,45.0
2534,11.4
139482,18.7
112885,40.8
136909,19.0
56713,14.0
91130,23.7
130382,33.2
38170,27.0
17965,20.8
33774,30.9
73352,32.0
68770,45.0
61116,16.4
114568,59.2
25992,27.4
101704,51.0
134552,53.0
102618,41.8
52822,29.0
136904,35.4
84242,33.9
112613,49.0
137707,62.5
17159,19.0
63698,14.4
124224,50.8
42846,6.5
31859,6.4
9183,14.0
23809,27.0
81864,50.0
72606,35.6
32880,22.3
117176,20.4
93314,30.0
96973,36.0
70716,30.0
114561,55.1
11596,12.4
82462,38.0
99418,34.7
18739,51.2
94978,35.0
66706,33.8
111412,33.1
13812,21.9
25288,26.7
106649,30.0
139534,35.9
1790,18.0
71464,48.0
106046,45.8
10048,20.0
97142,28.2
105830,35.0
78614,38.9
100050,31.0
135970,30.0
7794,16.8
118696,78.8
52701,17.0
126080,36.7
57104,25.0
134465,29.0
76412,37.9
19995,28.0
3894,3.4
100876,30.0
26809,16.0
18931,29.2
78223,35.3
48426,31.2
136056,25.8
19598,21.5
46399,18.4
98601,12.0
65631,8.6
79214,35.6
48825,23.4
3182,22.5
56122,21.0
81127,41.5
94745,33.6
62393,17.2
90128,36.0
98048,18.6
56162,24.5
123579,40.0
88567,40.4
117057,26.5
41762,11.0
44513,27.0
27621,22.0
127835,51.0
67190,41.1
45009,25.9
82826,47.0
46553,25.6
17867,29.8
129081,32.5
139634,30.0
129562,45.6
93787,24.4
77313,22.5
80466,53.9
58932,11.1
1120,12.0
89016,14.9
91681,31.0
76636,70.0
30535,15.3
4689,19.5
27760,30.0
35200,25.0
4496,13.0
17154,19.0
59022,15.5
47001,17.5
115749,40.0
88948,29.2
80055,43.0
66438,90.0
90213,46.3
124692,38.9
78737,30.0
29526,30.0
131031,20.0
119158,69.0
43801,25.8
10720,21.1
62314,22.4
116128,19.2
76959,40.0
109331,27.0
50607,21.6
95286,31.5
691,11.0
80755,36.0
128411,36.6
38727,32.0
10739,11.0
29380,21.0
15001,14.3
99732,22.0
137512,54.2
104073,43.0
73447,47.2
8604,11.8
67130,36.0
67316,35.5
18379,31.0
94889,28.0
113580,50.0
10527,7.8
32174,26.8
139006,53.3
44704,6.0
28886,23.0
66761,36.5
83180,44.0
74905,42.8
55093,14.0
20767,45.0
23061,32.8
74779,32.0
20675,25.7
104456,36.0
84193,13.8
71084,63.4
39957,35.0
43219,33.8
126604,21.6
95745,25.6
58352,23.3
111335,69.0
18570,14.0
110325,12.0
97057,32.9
27785,37.0
18272,31.7
8542,18.7
33770,31.0
110244,14.0
128395,35.1
71026,61.0
109590,60.8
66899,49.0
55990,26.1
11840,9.0
92497,27.0
127837,50.0
43250,22.0
91148,18.0
106718,27.0
46067,22.0
19359,37.1
35546,25.1
122392,69.6
33815,30.0
15587,8.3
15328,9.0
81878,44.0
30405,31.0
83525,41.4
122461,50.4
96710,24.6
123555,38.3
111451,68.1
64969,40.7
131331,30.0
115917,69.0
118061,31.0
16614,25.0
30379,22.0
51287,27.0
33711,18.5
127677,21.7
95005,31.9
126994,24.0
2514,18.0
30506,23.4
19864,18.4
35449,16.1
25810,16.5
114991,27.5
139127,49.0
24098,21.5
53923,15.0
108100,54.0
87738,21.0
71162,49.6
37061,20.2
43855,21.0
86296,39.9
69211,59.9
10817,11.9
85486,38.0
22792,16.0
18757,42.5
9332,15.0
92148,38.0
68356,28.5
19413,28.7
102809,26.9
5526,16.9
110548,54.0
3557,8.1
37122,37.0
107161,20.2
47292,13.5
62802,41.8
113036,35.4
70313,14.9
104134,53.4
19749,20.6
126567,35.7
3152,11.0
138173,41.0
132410,40.1
88624,24.5
110826,34.0
125743,21.5
110678,87.0
42843,20.0
87530,40.8
109675,22.6
5646,4.5
22694,47.6
7343,13.0
131600,69.5
87413,38.0
58443,19.0
47152,23.0
115191,37.9
9548,17.8
130950,42.0
122332,66.0
78348,28.8
70204,23.0
13808,22.0
35429,18.1
51289,23.0
112710,49.3
98693,30.7
50617,25.7
118682,76.2
10605,11.7
68338,44.7
43874,16.0
53656,20.5
47025,26.0
116321,9.4
3655,1.7
65096,29.0
71174,58.5
137299,24.5
55631,29.4
136845,54.6
85362,44.7
50416,15.9
33365,20.0
34761,30.2
123487,34.0
27260,24.0
80634,22.8
110972,47.6
12121,7.6
13116,14.4
138731,34.7
6329,14.5
285,19.0
25834,41.0
51440,16.0
127434,39.0
111034,65.0
73422,54.0
45837,25.0
66630,48.2
32985,24.0
15948,9.8
124385,33.0
48519,15.0
118079,39.0
112211,64.6
28377,23.5
38385,7.0
129300,50.0
95034,41.4
8841,14.2
75850,59.0
82156,25.7
104118,40.0
23299,27.6
109781,59.0
48652,17.0
66116,23.8
124973,23.3
88832,31.2
17432,29.0
85909,23.9
84725,32.0
8694,7.4
43245,29.0
134374,38.0
19741,13.0
114555,51.4
86632,32.0
124040,101.8
131606,74.6
35439,22.5
14783,13.9
61793,25.0
62332,34.8
94577,38.0
81345,37.6
59536,18.5
98135,41.7
86509,27.5
59820,11.0
70693,31.0
27763,36.0
110243,19.0
62175,64.5
45030,22.8
84543,28.0
117235,62.0
60778,22.0
122385,62.3
37460,33.0
115338,37.0
64071,26.0
32084,32.0
85534,34.0
354,3.0
77237,40.0
51864,16.8
81975,34.0
45829,17.0
80387,52.0
57149,16.5
90903,29.3
64507,34.6
126633,32.0
22236,33.0
111124,35.0
46621,20.0
111750,56.2
98235,20.7
39213,27.1
100788,25.8
110760,83.7
58572,10.0
84071,26.0
26608,31.6
35209,24.3
78835,39.1
97940,37.0
77687,39.0
77748,68.0
11530,10.1
3810,10.2
2464,18.7
103409,17.5
99584,39.0
117606,52.0
134675,44.0
68554,19.8
70146,36.0
134336,50.2
7740,9.8
44022,10.3
53917,13.0
34879,26.0
119110,34.0
128515,32.7
110521,25.0
107724,59.6
122912,42.0
9229,21.0
101821,52.1
5220,18.2
104715,29.9
63651,31.7
48890,17.7
129728,55.0
3686,2.4
129532,48.3
63801,47.0
8158,21.0
97734,19.0
44707,9.0
23074,35.7
64654,58.0
31782,30.5
38131,28.0
3597,4.5
114997,42.0
81876,45.0
32363,20.0
809,20.4
98594,12.2
100200,34.0
98515,26.0
76051,29.0
65158,37.4
138732,33.0
6896,6.8
9534,10.8
58632,10.0
88101,35.6
115561,78.0
34700,29.0
100564,30.7
134423,24.1
76623,48.1
91007,19.0
45072,6.7
70439,28.0
35742,7.3
13674,8.8
19709,22.6
82581,29.0
12879,13.1
76698,40.0
54208,14.8
127961,42.0
74656,74.5
85873,36.4
61294,14.6
119709,73.1
126182,27.0
35483,13.5
63080,13.5
128450,30.8
44457,36.0
96343,30.0
110265,21.0
120056,24.6
131933,33.5
104786,43.9
108752,46.0
101776,47.0
38142,18.0
117811,45.0
66915,40.0
111473,55.9
124988,34.8
99308,34.0
59588,16.0
7805,24.6
29761,22.0
84328,24.2
122470,48.0
118718,29.5
95283,35.0
118057,35.0
132029,43.0
7442,12.3
116328,14.5
118497,34.0
49248,9.5
7603,10.5
3697,1.0
22800,17.0
17094,30.0
54657,16.0
122348,48.0
28651,30.0
18885,42.3
105121,26.6
82905,37.0
97064,31.9
123184,61.4
56882,13.3
21658,34.0
135877,32.0
114850,102.0
30508,22.4
30253,15.0
26139,31.0
38395,12.0
60230,17.1
34808,18.1
39874,36.0
67726,20.5
138585,38.8
53006,19.7
29238,28.0
73905,26.3
57980,12.2
106620,44.3
139265,31.0
129311,57.0
80639,18.5
17495,29.7
34659,29.0
103,24.0
126638,23.7
45172,32.3
50492,9.0
115723,44.0
97376,16.0
89721,46.0
100483,26.0
8554,18.5
106780,38.0
39631,27.0
13895,15.0
48725,19.0
107770,46.9
114005,79.1
80375,54.0
46656,13.0
18994,32.0
79855,34.5
21721,30.2
52330,17.4
62322,16.0
111764,23.9
120786,53.0
67592,24.6
65167,40.2
54568,15.9
66584,64.3
97875,31.7
5636,7.0
1272,14.3
121456,72.1
56205,20.2
56496,13.0
29293,27.0
3036,21.0
54660,12.1
33993,30.6
102290,22.1
120680,57.6
131383,42.0
60418,11.0
128097,22.0
10063,21.0
1258,16.4
74243,27.7
87058,29.6
85142,56.0
98520,31.0
10256,11.0
37083,20.1
128756,65.0
139529,54.0
109153,73.0
73742,38.0
5737,13.4
79975,28.0
117377,50.0
33686,18.5
47341,14.0
50099,14.0
84546,67.2
26693,18.7
39095,5.9
126118,37.6
54198,14.8
130063,49.0
51860,15.9
126394,44.0
36870,15.0
100678,32.0
131110,22.9
113381,40.1
19075,16.0
90798,18.7
111720,47.0
14427,11.0
90930,52.2
24360,32.0
23279,35.7
46363,19.3
16280,16.9
6097,12.0
136934,84.0
6303,10.4
67470,45.0
139064,32.4
99342,42.0
117351,54.0
113597,38.0
97815,31.0
45392,8.6
96072,28.0
91224,43.0
137918,57.0
80470,52.5
53793,14.0
124309,49.0
111829,25.0
136438,32.3
30475,36.0
32345,17.8
136506,41.0
78462,32.1
76464,37.3
49383,12.8
46651,10.0
74128,34.4
137531,25.7
16625,23.5
99386,35.0
118287,53.0
134045,47.0
103394,11.2
112269,68.0
59098,22.5
106891,26.0
26120,37.0
39978,19.6
4528,18.3
85101,50.0
28546,27.2
79966,26.6
122552,54.0
87786,32.0
63506,38.0
95813,27.9
16832,41.3
109306,26.0
28863,15.8
62430,52.0
19946,25.0
89066,18.6
50566,29.2
129845,50.3
18777,39.0
74500,27.0
38982,21.0
73973,44.7
106112,34.9
122359,45.0
41953,30.5
83091,40.5
4740,12.1
77966,81.9
125954,45.0
66118,15.4
66805,33.0
118916,52.0
102007,39.4
110112,34.6
106459,35.0
71946,27.8
121800,35.0
116420,30.6
99789,42.4
111993,51.0
82444,36.0
139528,28.3
33875,24.7
43525,32.6
76635,50.0
67620,56.0
11196,10.6
13431,11.8
122525,35.0
104616,43.0
119074,36.0
135026,50.0
68501,36.0
86838,20.6
22296,17.0
120604,63.0
100470,33.0
28586,39.0
8632,17.5
72951,21.3
95713,28.8
70124,30.0
69066,24.0
18861,39.0
83730,38.2
102913,47.0
85884,43.3
32017,17.7
107298,20.0
138474,31.4
76771,35.2
59457,20.0
38500,27.4
881,12.4
20899,39.3
107633,57.0
90370,32.0
14360,11.1
20842,40.0
90449,50.0
4101,14.0
57479,12.0
32435,22.0
52132,14.5
58991,15.7
116077,37.6
44318,26.0
118374,25.0
85811,40.4
124460,38.5
86235,37.3
19070,18.0
128024,16.0
105963,38.0
52054,10.0
124666,59.9
8214,21.0
74809,31.5
66291,42.5
88384,25.0
114594,25.4
115618,47.9
87009,31.0
7892,10.1
38104,43.7
113151,37.9
106536,38.0
79493,29.0
19529,32.7
26945,36.0
134013,49.8
51710,23.6
50072,12.0
138968,47.2
104684,28.6
117935,25.0
34896,14.0
46430,11.5
52042,11.5
15501,14.1
36640,24.0
70192,25.0
87136,38.0
2355,13.0
100402,26.5
47641,23.4
138623,28.5
62136,78.0
121232,45.4
122523,48.0
123177,33.4
114206,66.0
96931,31.0
66021,68.1
138999,50.3
83927,46.3
52749,18.0
34570,16.0
19553,22.9
90157,34.0
57281,16.0
94858,34.0
108252,47.1
127972,30.0
17968,23.2
30640,20.0
7527,15.1
35112,23.0
71330,39.9
107700,55.0
9555,11.6
93357,27.8
138081,49.2
79602,19.1
62110,61.0
94738,30.2
10477,8.4
15548,13.1
59145,17.2
78171,39.0
129475,39.5
63665,17.3
85483,32.0
45918,22.2
99096,12.0
53740,22.0
105345,8.4
110778,63.4
70871,34.0
76122,31.3
73479,38.5
26570,26.4
96461,26.7
78971,37.5
51212,16.0
53207,19.5
22830,38.9
2013,13.0
83025,33.5
77311,36.4
17608,34.7
65409,54.5
104225,35.0
43214,32.1
116070,30.0
128759,56.9
16567,25.0
102883,31.0
68282,47.0
90851,43.8
103648,36.1
13651,11.6
131803,57.7
39998,29.4
97175,33.1
118190,46.0
120081,23.0
132897,28.2
138916,49.6
73581,32.0
84363,13.1
12135,21.6
130868,25.6
18004,22.2
81682,28.3
2599,14.7
124438,51.0
77972,22.0
110143,63.0
1777,14.2
52517,29.0
33461,32.0
106538,32.0
22509,45.0
20802,34.0
7297,12.3
136135,31.0
33512,17.2
114450,63.2
125497,29.4
81990,27.0
116059,40.9
102445,33.0
92977,29.2
121141,29.7
124080,70.0
7716,9.6
94805,26.9
88480,26.4
100569,24.8
15424,9.6
127154,41.7
