,Value
94781,35.6
131738,56.3
92469,29.0
111702,50.0
136419,26.2
80395,44.0
122475,48.0
18491,26.0
132466,91.2
90494,35.8
87695,28.1
94839,30.7
86456,36.6
70958,48.4
3666,2.9
61748,67.0
59665,22.9
48264,34.3
53837,24.2
66111,29.3
99561,37.0
88232,24.4
135795,30.0
132302,32.1
32418,25.0
53876,17.2
35299,25.3
18123,19.3
135494,32.7
133465,77.7
90010,20.6
133028,22.7
84200,29.9
55345,15.6
1705,2.3
52304,17.6
16852,60.5
110237,17.0
59683,23.8
4177,16.8
10260,10.0
5908,6.3
100963,32.9
10270,11.0
71748,27.6
71092,60.5
89,24.0
8712,2.3
19023,21.0
71294,57.2
64296,52.0
109749,48.4
31405,26.0
15567,11.5
115748,34.0
66907,31.1
94487,48.0
55540,15.4
120706,52.6
21652,34.0
107338,32.0
31457,28.0
66105,28.0
99129,34.0
29557,37.0
40674,22.0
7791,24.6
72446,38.9
41750,25.0
6236,19.0
41786,19.0
92603,31.0
59188,6.5
34824,25.1
83216,21.0
62227,61.6
138743,36.8
129962,33.6
830,6.5
124828,38.0
95856,32.6
32445,20.0
32950,23.0
53342,10.0
104230,40.0
45824,27.0
17808,32.3
3154,12.0
96706,13.3
138726,32.2
110628,74.3
3060,20.0
131000,16.9
93461,29.0
111188,42.2
63441,24.0
88661,25.3
76830,40.0
18128,19.2
112350,70.0
127282,19.4
8179,25.0
81102,41.7
131093,13.0
4500,15.3
80595,39.5
68359,27.3
72179,61.7
110215,31.0
108905,72.0
74454,34.8
55944,17.0
83117,37.4
78769,33.2
112605,78.0
91499,29.0
132113,34.7
47623,15.1
38706,28.1
89406,37.0
33179,34.0
70015,51.0
46266,16.6
121993,42.5
82494,43.8
126703,32.1
130642,51.4
114526,56.0
73798,33.8
66731,36.7
117617,57.0
100199,33.0
115840,41.9
73577,27.6
7347,12.0
49046,24.9
2350,12.0
71219,54.7
105183,35.0
93003,36.0
24557,27.0
31670,27.0
137912,56.0
104219,36.0
136653,59.0
1585,12.8
137286,24.5
107570,44.0
117638,49.3
132045,18.3
26071,37.0
72942,17.9
45091,7.9
2378,4.0
57953,17.6
43819,30.1
26881,19.5
26958,29.0
123207,52.9
87040,36.0
54933,19.0
120582,74.0
38799,16.1
48873,10.3
38849,25.0
128512,38.5
137951,39.0
40094,27.0
78793,26.8
64970,49.6
7727,10.4
139474,38.6
129057,31.3
62861,29.5
91765,37.6
63117,33.5
9739,8.9
136230,49.0
134046,44.0
25731,29.0
34883,14.0
55414,15.0
46620,20.0
76380,28.2
73937,51.5
86720,22.1
43217,31.4
94740,34.3
121048,37.7
7034,15.0
46051,23.0
81157,37.4
42036,39.3
49220,16.9
133479,26.0
118977,74.6
31231,42.0
21881,26.7
139218,26.7
51472,23.0
885,5.7
12628,19.0
14002,12.7
59057,23.4
45428,18.0
89988,24.6
100130,24.5
25814,19.0
114836,41.0
63104,21.3
81263,29.8
44972,20.4
96957,32.0
33631,29.9
42095,32.1
122344,43.0
91165,30.1
46742,7.6
104668,24.4
73618,32.8
14307,5.9
17881,24.6
55548,22.5
48350,26.0
56858,13.0
47362,14.0
54577,13.2
19714,22.0
88860,30.0
96685,29.2
90462,32.0
61854,15.5
71257,35.6
132694,21.9
115189,17.9
19589,23.9
82785,57.0
80524,39.9
70513,53.4
74111,48.9
47392,11.0
102175,30.0
22560,35.0
112483,28.0
43357,34.2
121235,48.2
106000,38.0
15874,16.3
12191,10.6
105712,57.5
135901,39.6
130754,16.0
53312,13.7
13479,11.1
30937,48.0
25150,30.9
43793,24.0
27045,16.4
97707,23.7
37508,25.5
44676,16.0
2254,15.9
9586,14.1
25318,19.2
79699,27.0
12220,14.8
139415,18.3
18279,27.9
34457,16.0
10244,12.0
62272,46.7
95481,32.0
118108,37.5
55005,17.4
117678,55.7
12432,10.1
51768,12.9
83608,21.8
33142,35.0
112236,66.0
42712,22.7
58456,14.0
36568,37.0
22716,32.0
82229,39.0
114723,61.8
80424,49.0
131077,18.4
134101,32.3
54381,9.8
82285,41.0
88641,23.6
134076,57.0
13802,18.9
6628,7.0
65627,7.1
46549,26.1
3679,2.2
26740,23.3
93359,26.3
106685,41.5
77686,39.0
133107,21.1
3781,21.5
120779,42.0
70584,51.6
18098,33.0
89418,39.5
99486,40.3
114231,43.4
37218,25.3
35371,20.5
41001,26.0
1312,11.0
34254,41.3
57258,24.0
77205,30.0
110831,45.0
19362,33.1
67125,34.0
76780,36.4
11801,10.0
29638,40.2
12924,9.4
55717,24.5
4538,8.0
22795,11.0
14040,14.6
17929,32.0
129757,68.7
130975,41.2
81613,45.0
131466,29.0
39062,8.6
129216,55.0
112794,40.3
17056,31.0
103373,14.5
114095,63.0
131537,40.5
64080,29.5
107462,82.8
16865,45.0
662,7.4
82124,30.7
111301,46.5
122951,47.5
42419,9.5
121363,27.3
102401,37.0
70796,73.5
64945,48.7
106879,17.9
118473,26.9
67251,44.3
45757,21.5
73418,50.0
7242,12.3
95734,44.7
10285,10.0
111758,36.7
85458,26.6
77626,35.7
53625,31.0
61258,8.1
120897,52.9
